ym,eur_mwh,hours
2019-12,34.95,1
2020-01,44.05,716
2020-02,41.05,685
2020-03,36.92,732
2020-04,33.27,710
2020-05,38.47,725
2020-06,48.51,702
2020-07,48.96,717
2020-08,52.23,728
2020-09,53.77,700
2020-10,52.18,731
2020-11,53.62,710
2020-12,56.67,731
2021-01,54.43,750
2021-02,58.88,656
2021-03,59.69,735
2021-04,59.48,697
2021-05,65.74,726
2021-06,76.2,716
2021-07,82.33,735
2021-08,82.36,735
2021-09,102.28,709
2021-10,103.08,733
2021-11,117.8,712
2021-12,179.97,732
2022-01,142.26,761
2022-02,116.67,663
2022-03,141.72,728
2022-04,124.4,713
2022-05,140.84,738
2022-06,185.56,716
2022-07,221.33,729
2022-08,269.11,736
2022-09,175.94,709
2022-10,134.22,738
2022-11,171.16,713
2022-12,173.1,730
2023-01,130.08,756
2023-02,136.95,662
2023-03,120.54,733
2023-04,122.01,710
2023-05,105.66,731
2023-06,118.22,712
2023-07,116.15,736
2023-08,107.58,728
2023-09,109.86,717
2023-10,95.36,740
2023-11,98.73,712
2023-12,80.41,732
2024-01,93.11,758
2024-02,76.02,691
2024-03,75.44,737
2024-04,80.84,715
2024-05,85.71,739
2024-06,105.7,714
2024-07,109.06,742
2024-08,100.15,742
2024-09,95.26,718
2024-10,103.18,742
2024-11,120.82,719
2024-12,109.4,743
2025-01,110.8,766
2025-02,133.76,670
2025-03,99.58,741
2025-04,85.96,720
2025-05,94.14,739
2025-06,81.6,717
2025-07,102.69,737
2025-08,89.96,733
2025-09,107.58,719
2025-10,105.16,2862
2025-11,124.98,2756
2025-12,116.67,2891
2026-01,140.66,2959
2026-02,116.04,2597
2026-03,105.22,2906
2026-04,83.95,2803
2026-05,103.94,2893
2026-06,117.18,2775
2026-07,113.83,2904
2026-08,129.01,273
